thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,thickness_crust,d_2_young_rift,lon,lat,GHF,upper_mantle_vel_structure,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
11.995999999999999,13.0,0.0207,974.5,965.21,1441.3,843.43,7.516648189,37.0200005,507.9,6.666687012000001,30.50012207,79.0570984,6.0,1.49438107,-36.231098200000005,-30.0876999,134147.0,60.982200600000006,205.2929993
19.000999999999998,12.0,-0.0206,781.14,507.28,935.63,265.02,8.276472679,30.6900005,56.76,-118.33331299999999,47.50012207,72.10949709999998,6.0,0.73180944,91.710701,-32.8571014,63441.69922,59.1673012,633.8880005
10.0,9.996,-0.028999999,438.43,436.74,417.47,173.4,8.860022573,28.2000008,169.55,-119.33331299999999,41.50012207,90.20290370000001,5.0,0.2761344,331.0589905,-41.4109001,49986.5,-44.183200799999995,1750.5
12.997,13.0,-0.019200001,1660.73,1349.92,1220.22,1238.0,64.62584622,38.6199989,30.27,108.66668700000001,34.50012207,68.2104034,3.0,1.6416446,-65.55639649999999,-43.8064003,70569.5,-56.846900899999994,523.4799805
9.501,10.0,-0.020199999,1661.69,1152.57,963.56,620.32,4.74341649,30.9400005,159.03,11.66668701,48.50012207,73.90950009999999,6.0,1.22975624,-14.940999999999999,-36.2242012,66813.5,51.902401,469.92700199999996
11.002,11.0,0.0196,2173.47,2406.27,3511.23,1726.89,53.52102391,36.0,1587.58,74.66668701,55.50012207,41.3564987,2.0,1.72267163,85.274498,-36.6996994,73943.89844,65.4044037,109.3580017
5.702000000000001,6.3,-0.076399997,82.95,3847.36,3683.92,65.82,3.5355339060000004,22.389999399999997,643.42,-23.33331299,65.50012207,156.496994,12.0,0.47718999,101.0039978,-23.2863998,51925.69922,151.4470062,186.5749969
15.001,14.0,0.029999999,2386.29,2523.61,3339.51,1969.63,50.62114183,37.9399986,1845.54,70.66668701,57.50012207,54.3120995,2.0,1.7343359,-57.48709870000001,-38.1305008,66064.20313,73.7628021,63.263900799999995
15.004000000000001,15.0,0.034000002,2764.15,1679.07,1920.92,1225.18,28.71410803,44.8600006,1544.96,44.66668701,53.50012207,46.6808014,1.0,2.70810604,224.451004,-39.0119019,259899.0,89.99510190000001,226.07899480000003
11.997,12.0,-0.035399999,903.3,1149.86,1358.18,503.42,53.3338547,34.0,130.96,132.66668700000002,46.50012207,48.9739,5.0,0.81821,75.6252975,-30.8962002,48546.60156,136.69400019999998,56.0
10.504000000000001,11.0,0.0359,1668.63,999.37,2945.56,714.17,13.65650028,34.0,1505.48,-130.33331299999998,66.50012207,70.29499820000001,2.0,2.16695166,370.053009,-34.0287018,194167.0,85.30419920000001,72.9112015
12.0,13.0,0.012,1122.25,711.22,1176.08,800.29,9.192388155,34.9199982,337.09,8.666687012,31.50012207,78.1942978,6.0,1.3108381000000002,-1.9774599999999998,-28.2950001,142104.0,78.47979740000001,194.90800480000001
16.004,17.0,-0.0306,1477.05,1745.84,1473.85,680.84,6.519202405,49.090000200000006,524.15,-103.333313,42.50012207,66.78949739999999,4.0,1.76182234,-160.9559937,-36.5597992,225351.0,-25.3544006,1399.51001
6.0,7.0,0.019400001,893.98,114.93,253.71,310.53,7.778174592999999,30.510000199999997,144.51,32.66668701,36.50012207,35.3596992,8.0,0.85798001,-67.56950379999999,-31.555999800000002,151495.0,81.2618027,1397.660034
5.0,6.002999999999999,-0.051800001,163.12,1095.73,334.93,449.87,8.514693183,24.920000100000003,66.53,33.66668701,23.50012207,46.2387009,5.0,0.87119937,41.0583,-32.463798499999996,49141.69922,65.2349014,388.6730042
19.003,12.0,0.0122,2682.97,2408.68,2525.43,2519.24,22.32711356,44.0,1046.26,-79.33331299,42.50012207,49.3862,2.0,1.98454797,-305.480011,-43.564201399999995,174529.0,80.20880129999999,235.0039978
13.005,11.99,-0.0339,54.16,2322.01,2695.83,921.13,66.92159592,50.0,371.75,124.66668700000001,56.50012207,49.2221985,6.0,1.63898504,140.9850006,-37.448398600000004,74394.89844,9.8990602,1095.859985
14.002,13.0,0.0242,1975.64,2126.25,1968.11,1619.83,13.58307771,32.8600006,44.57,-90.33331299,34.50012207,56.64599989999999,4.0,1.985672,-39.6200981,-26.5195007,203743.0,130.1950073,48.0527
9.996,10.0,-0.0186,183.84,1725.66,2016.37,929.55,11.42365966,30.1700001,142.08,-6.333312987999999,37.50012207,67.29010009999999,6.0,1.21573746,-21.339099899999997,-25.4284992,62488.60156,157.91999819999998,192.2429962
12.003,12.0,0.0164,1818.83,938.85,3136.06,627.77,13.58307771,37.0,1203.68,-138.33331299999998,67.50012207,57.26850129999999,2.0,1.66095495,-106.90699769999999,-30.7502995,168171.0,93.3881989,548.0900268999999
