thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,thickness_crust,d_2_young_rift,lon,lat,upper_mantle_vel_structure,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
0.69,1.51,-0.0166,1000.62,1913.72,2026.29,1587.1,2266.376725553956,6.97,1752.76,-105.5,-60.5,7.0,0.836329,8.46278572083,-11.374724,47866.745,524.495239258,-5036
0.7,1.53,-0.0122,1047.02,1859.64,1973.66,1587.83,2320.0157276109476,7.08,1746.0,-104.5,-60.5,7.0,1.14936,-1.92219865322,-11.414471,48154.38843,524.803771973,-5078
0.71,1.55,-0.0072,1094.6,1805.75,1921.4,1589.46,2373.8819847240047,7.16,1738.64,-103.5,-60.5,7.0,1.14936,-16.4790115356,-11.174665,48035.56824,525.773803711,-5064
0.69,1.54,-0.0062,1143.21,1752.07,1869.55,1592.03,2427.9488502248737,7.07,1731.28,-102.5,-60.5,10.0,1.14936,-30.0225276947,-10.631826,46290.27557,526.828735352,-5136
0.68,1.5,-0.0106,1192.71,1698.56,1818.15,1595.52,2481.424000589708,6.91,1723.92,-101.5,-60.5,10.0,1.14936,-36.0321273804,-10.216391999999999,44619.80057,527.242675781,-5131
0.68,1.5,-0.0141,1242.98,1645.34,1767.27,1599.97,2500.9283583814213,6.96,1716.55,-100.5,-60.5,7.0,1.14936,-32.289642334,-10.264101,44862.60223,526.729919434,-5085
0.67,1.48,-0.0148,1293.91,1592.43,1716.95,1604.88,2522.195224479081,7.02,1701.01,-99.5,-60.5,7.0,1.14936,-22.3292617798,-10.6385,45629.86374,525.508911133,-5117
0.69,1.5,-0.0146,1345.44,1539.9,1667.25,1584.36,2545.176525169868,7.18,1676.45,-98.5,-60.5,7.0,1.14936,-11.8213014603,-10.953021000000001,46795.707700000006,523.94732666,-5017
0.71,1.54,-0.016100001,1397.47,1487.77,1618.25,1558.07,2569.822056696971,7.12,1652.56,-97.5,-60.5,7.0,1.14936,-4.62257575989,-11.066936,48393.6615,522.353393555,-4878
0.67,1.5,-0.020199999,1449.95,1436.13,1570.02,1524.82,2596.079905295468,6.89,1629.36,-96.5,-60.5,7.0,1.14936,-2.02260899544,-11.122159,50116.893769999995,520.81036377,-4931
0.68,1.5,-0.0222,1502.82,1385.02,1522.65,1492.5,2623.8968506884717,6.91,1606.9,-95.5,-60.5,7.0,1.14936,-3.03590631485,-11.111450999999999,52142.76505,519.306091309,-4975
0.69,1.5,-0.020400001,1556.02,1334.49,1476.23,1461.15,2653.218747856494,7.0,1585.21,-94.5,-60.5,7.0,1.14845,-5.08554029465,-10.972088000000001,53968.955989999995,517.830993652,-4977
0.68,1.5,-0.018200001,1609.51,1284.0,1430.86,1430.83,2683.990883056174,7.01,1564.32,-93.5,-60.5,7.0,1.14845,-4.78830099106,-11.030368,55703.33481,516.435668945,-4927
0.69,1.53,-0.0188,1611.74,1234.2,1386.65,1401.59,2716.158301192628,7.13,1544.29,-92.5,-60.5,7.0,1.14845,-1.1204366684,-11.515944000000001,56017.41028,515.19329834,-4851
0.69,1.53,-0.020199999,1562.34,1185.21,1343.58,1373.48,2749.6661027014566,7.13,1525.14,-91.5,-60.5,7.0,1.14845,4.58032655716,-11.860327,56100.60501,514.168945312,-4924
0.68,1.5,-0.0188,1512.92,1137.15,1299.42,1338.4,2784.45970904193,7.06,1504.13,-90.5,-60.5,7.0,1.14845,9.83441925049,-11.505483,55167.81235,513.282714844,-5028
0.67,1.46,-0.0155,1463.51,1090.16,1255.73,1302.45,2820.4850967234347,6.92,1461.06,-89.5,-60.5,7.0,1.14845,12.4878482819,-10.932682000000002,54280.32303,512.448669434,-5072
0.69,1.5,-0.0152,1414.12,1044.38,1213.24,1267.89,2857.689000473948,7.19,1418.25,-88.5,-60.5,7.0,1.14845,11.809220314,-10.826871,53472.33963,511.803588867,-4820
0.68,1.5,-0.016799999,1364.76,999.93,1172.31,1234.82,2896.0190867114366,7.16,1375.74,-87.5,-60.5,7.0,1.14845,8.39498806,-11.013394,52995.60165,511.702606201,-4726
0.67,1.48,-0.016100001,1315.45,955.33,1133.14,1202.49,2935.4240989024256,7.09,1333.57,-86.5,-60.5,7.0,1.00278,3.53921794891,-11.074385000000001,50715.96527,512.253662109,-4840
0.67,1.5,-0.0142,1266.21,908.38,1095.42,1169.55,2975.8539766968174,7.11,1291.78,-85.5,-60.5,7.0,1.00278,-1.36478817463,-10.956733,49091.86935,513.106262207,-4851
